month,Unnamed: 0,bank_name,inward_interbank_volume,inward_costumer_volume,inward_total_volume,inward_percentage_volume,inward_interbank_amt,inward_costumer_amt,inward_total_amt,inward_percentage_amt,outward_interbank_volume,outward_costumer_volume,outward_total_volume,outward_percentage_volume,outward_interbank_amt,outward_costumer_amt,outward_total_amt,outward_percentage_amt,outward_inward_ratio
2019-01-01,19966,The Satara District Central Co-Operative Bank Ltd,1,1,2,0.0,2.0,500.0,502.0,0.0,0,0,0,0.02,104583.235,97058.61499999999,185535.5,0.02,369.5926294820717
2019-01-01,19967,"The Varachha Co-Operative Bank Ltd., Surat",5,2542,2547,0.02,29.37,28497.5,28526.87,0.0,1,3057,3058,0.03,30.0,33262.89,33292.89,0.0,1.1670712559772594
2019-01-01,19968,The Vijay Co-Operative Bank Ltd.,0,0,0,0.02,55675.56,93718.745,173650.48,0.02,0,1,1,0.0,104583.235,2.0,2.0,0.0,1.15173882617543e-05
2019-01-01,19969,"The Vishweshwar Sahakari Bank Ltd., Pune",27,1853,1880,0.02,26106.54,30839.81,56946.35,0.0,30,3168,3198,0.03,29111.0,49847.34,78958.34,0.01,1.386539084594535
2019-01-01,19970,The West Bengal State Co-Operative Bank Ltd.,103,1110,1213,0.01,4625.76,51078.67,55704.43,0.0,61,5027,5088,0.04,36975.76,131554.24,168530.0,0.01,3.025432627171663
2019-01-01,19971,The Zoroastrian Cooperative Bank Limited,71,863,934,0.01,28897.23,20062.55,48959.78,0.0,22,937,959,0.01,14870.0,35403.38,50273.38,0.0,1.0268301859199531
2019-01-01,19972,Thrissur District Co-Operative Bank Ltd.,9,398,407,0.0,2322.76,4554.8,6877.56,0.0,0,894,894,0.01,104583.235,15714.26,15714.26,0.0,2.284859746770657
2019-01-01,19973,Tjsb Sahakari Bank Ltd.,131,8617,8748,0.07,4264.69,151588.96,155853.65,0.01,129,8770,8899,0.08,3896.79,128151.72,132048.51,0.01,0.8472596567356621
2019-01-01,19974,Tumkur Grain Merchants Co-Operative Bank Ltd.,6,739,745,0.01,5600.16,10222.73,15822.88,0.0,0,1453,1453,0.01,104583.235,12728.73,12728.73,0.0,0.8044508964234072
2019-01-01,19975,Uco Bank,7213,63600,70813,0.6,1158411.8,3001483.01,4159894.8,0.33,4878,112373,117251,1.0,1017423.99,1832919.85,2850343.84,0.23,0.6851961352484203
2019-01-01,19976,Ujjivan Small Finance Bank Limited,353,1162,1515,0.01,310433.1,171175.24,481608.35,0.04,148,2170,2318,0.02,298030.84,159671.59,457702.42,0.04,0.9503623016502932
2019-01-01,19977,Uniited Overseas Bank Mumbai Branch,37,63,100,0.0,188105.18,119463.81,307568.99,0.02,55,43,98,0.0,227648.59,60996.06,288644.65,0.02,0.9384712353478809
